year,month,stateid,price,price-units
12,2023,HI,0.0,cents per kilowatt-hour
12,2023,ID,11.53,cents per kilowatt-hour
12,2023,ID,0.0,cents per kilowatt-hour
12,2023,IL,14.84,cents per kilowatt-hour
12,2023,IL,7.29,cents per kilowatt-hour
12,2023,IN,14.58,cents per kilowatt-hour
12,2023,IN,11.56,cents per kilowatt-hour
12,2023,IA,11.95,cents per kilowatt-hour
12,2023,IA,0.0,cents per kilowatt-hour
12,2023,KS,12.72,cents per kilowatt-hour
12,2023,KS,0.0,cents per kilowatt-hour
12,2023,KY,12.34,cents per kilowatt-hour
12,2023,KY,0.0,cents per kilowatt-hour
12,2023,LA,11.21,cents per kilowatt-hour
12,2023,LA,11.22,cents per kilowatt-hour
12,2023,ME,27.99,cents per kilowatt-hour
12,2023,ME,0.0,cents per kilowatt-hour
12,2023,MD,17.46,cents per kilowatt-hour
10,2023,WY,12.49,cents per kilowatt-hour
10,2023,WY,0.0,cents per kilowatt-hour
10,2023,NEW,28.05,cents per kilowatt-hour
10,2023,NEW,10.94,cents per kilowatt-hour
10,2023,MAT,19.67,cents per kilowatt-hour
10,2023,MAT,14.21,cents per kilowatt-hour
10,2023,ENC,16.51,cents per kilowatt-hour
10,2023,ENC,7.35,cents per kilowatt-hour
10,2023,WNC,13.22,cents per kilowatt-hour
10,2023,WNC,12.44,cents per kilowatt-hour
10,2023,SAT,15.0,cents per kilowatt-hour
10,2023,SAT,10.25,cents per kilowatt-hour
10,2023,ESC,13.48,cents per kilowatt-hour
10,2023,ESC,0.0,cents per kilowatt-hour
10,2023,WSC,14.18,cents per kilowatt-hour
10,2023,WSC,7.34,cents per kilowatt-hour
09,2023,LA,11.42,cents per kilowatt-hour
09,2023,LA,10.52,cents per kilowatt-hour
09,2023,ME,26.79,cents per kilowatt-hour
09,2023,ME,0.0,cents per kilowatt-hour
09,2023,MD,16.95,cents per kilowatt-hour
09,2023,MD,11.44,cents per kilowatt-hour
09,2023,MA,28.18,cents per kilowatt-hour
09,2023,MA,6.79,cents per kilowatt-hour
09,2023,MI,19.49,cents per kilowatt-hour
09,2023,MI,13.71,cents per kilowatt-hour
09,2023,MN,15.44,cents per kilowatt-hour
09,2023,MN,12.53,cents per kilowatt-hour
01,2023,NJ,16.89,cents per kilowatt-hour
01,2023,NJ,14.36,cents per kilowatt-hour
11,2023,MAT,14.82,cents per kilowatt-hour
11,2023,ENC,16.18,cents per kilowatt-hour
11,2023,ENC,5.94,cents per kilowatt-hour
11,2023,WNC,12.67,cents per kilowatt-hour
11,2023,WNC,10.47,cents per kilowatt-hour
11,2023,SAT,14.54,cents per kilowatt-hour
11,2023,SAT,10.21,cents per kilowatt-hour
11,2023,ESC,13.53,cents per kilowatt-hour
11,2023,ESC,0.0,cents per kilowatt-hour
01,2023,NM,13.27,cents per kilowatt-hour
01,2023,NM,0.0,cents per kilowatt-hour
01,2023,NY,23.62,cents per kilowatt-hour
01,2023,NY,14.75,cents per kilowatt-hour
01,2023,NC,12.37,cents per kilowatt-hour
01,2023,NC,7.69,cents per kilowatt-hour
11,2023,WSC,13.86,cents per kilowatt-hour
11,2023,WSC,7.77,cents per kilowatt-hour
11,2023,MTN,13.85,cents per kilowatt-hour
11,2023,MTN,12.57,cents per kilowatt-hour
11,2023,PACC,21.57,cents per kilowatt-hour
11,2023,PACC,13.17,cents per kilowatt-hour
11,2023,PACN,35.06,cents per kilowatt-hour
11,2023,PACN,0.0,cents per kilowatt-hour
11,2023,US,16.19,cents per kilowatt-hour
11,2023,US,12.6,cents per kilowatt-hour
05,2023,AZ,14.3,cents per kilowatt-hour
05,2023,AZ,10.45,cents per kilowatt-hour
05,2023,AR,12.32,cents per kilowatt-hour
05,2023,AR,15.12,cents per kilowatt-hour
05,2023,CA,29.82,cents per kilowatt-hour
05,2023,CA,13.12,cents per kilowatt-hour
05,2023,CO,14.34,cents per kilowatt-hour
05,2023,CO,11.3,cents per kilowatt-hour
06,2023,ME,27.56,cents per kilowatt-hour
06,2023,ME,0.0,cents per kilowatt-hour
06,2023,MD,17.0,cents per kilowatt-hour
06,2023,MD,11.16,cents per kilowatt-hour
06,2023,MA,27.52,cents per kilowatt-hour
06,2023,MA,7.28,cents per kilowatt-hour
06,2023,MI,19.38,cents per kilowatt-hour
06,2023,MI,13.85,cents per kilowatt-hour
06,2023,MN,15.68,cents per kilowatt-hour
06,2023,MN,13.9,cents per kilowatt-hour
05,2023,CT,31.36,cents per kilowatt-hour
05,2023,CT,16.12,cents per kilowatt-hour
05,2023,DE,16.62,cents per kilowatt-hour
05,2023,DE,0.0,cents per kilowatt-hour
05,2023,DC,17.09,cents per kilowatt-hour
05,2023,DC,10.39,cents per kilowatt-hour
05,2023,FL,15.09,cents per kilowatt-hour
05,2023,FL,11.49,cents per kilowatt-hour
06,2023,MS,13.27,cents per kilowatt-hour
06,2023,MS,0.0,cents per kilowatt-hour
06,2023,MO,14.1,cents per kilowatt-hour
06,2023,MO,9.7,cents per kilowatt-hour
06,2023,MT,13.16,cents per kilowatt-hour
06,2023,MT,0.0,cents per kilowatt-hour
10,2023,MTN,13.86,cents per kilowatt-hour
10,2023,MTN,12.92,cents per kilowatt-hour
01,2024,IN,14.0,cents per kilowatt-hour
01,2024,IN,11.86,cents per kilowatt-hour
